timestamp,open,high,low,close
2026-08-17 07:00:00+09:00,184.342,184.43,184.342,184.411
2026-08-17 07:05:00+09:00,184.413,184.413,184.394,184.403
2026-08-17 07:10:00+09:00,184.403,184.429,184.395,184.416
2026-08-17 07:15:00+09:00,184.416,184.422,184.405,184.406
2026-08-17 07:20:00+09:00,184.406,184.407,184.371,184.375
2026-08-17 07:25:00+09:00,184.375,184.38,184.368,184.371
2026-08-17 07:30:00+09:00,184.371,184.377,184.346,184.363
2026-08-17 07:35:00+09:00,184.363,184.372,184.318,184.337
2026-08-17 07:40:00+09:00,184.337,184.362,184.336,184.359
2026-08-17 07:45:00+09:00,184.359,184.361,184.33,184.332
2026-08-17 07:50:00+09:00,184.332,184.341,184.315,184.326
2026-08-17 07:55:00+09:00,184.327,184.356,184.278,184.278
2026-08-17 08:00:00+09:00,184.278,184.278,184.222,184.234
2026-08-17 08:05:00+09:00,184.234,184.269,184.229,184.252
2026-08-17 08:10:00+09:00,184.252,184.293,184.246,184.287
2026-08-17 08:15:00+09:00,184.287,184.323,184.281,184.322
2026-08-17 08:20:00+09:00,184.322,184.325,184.301,184.307
2026-08-17 08:25:00+09:00,184.307,184.309,184.292,184.293
2026-08-17 08:30:00+09:00,184.293,184.303,184.29,184.298
2026-08-17 08:35:00+09:00,184.298,184.299,184.28,184.293
2026-08-17 08:40:00+09:00,184.293,184.293,184.253,184.266
2026-08-17 08:45:00+09:00,184.266,184.29,184.266,184.283
2026-08-17 08:50:00+09:00,184.283,184.329,184.283,184.309
2026-08-17 08:55:00+09:00,184.309,184.311,184.294,184.299
2026-08-17 09:00:00+09:00,184.299,184.347,184.257,184.287
2026-08-17 09:05:00+09:00,184.287,184.321,184.286,184.304
2026-08-17 09:10:00+09:00,184.304,184.304,184.275,184.294
2026-08-17 09:15:00+09:00,184.294,184.294,184.243,184.247
2026-08-17 09:20:00+09:00,184.247,184.247,184.168,184.184
2026-08-17 09:25:00+09:00,184.184,184.23,184.17,184.228
