timestamp,open,high,low,close
2026-08-24 07:00:00+09:00,216.728,216.883,216.728,216.84
2026-08-24 07:05:00+09:00,216.84,216.857,216.816,216.833
2026-08-24 07:10:00+09:00,216.833,216.91,216.831,216.893
2026-08-24 07:15:00+09:00,216.893,216.929,216.893,216.927
2026-08-24 07:20:00+09:00,216.927,216.957,216.926,216.951
2026-08-24 07:25:00+09:00,216.951,216.966,216.945,216.946
2026-08-24 07:30:00+09:00,216.946,216.975,216.946,216.972
2026-08-24 07:35:00+09:00,216.972,216.975,216.954,216.956
2026-08-24 07:40:00+09:00,216.956,216.958,216.941,216.945
2026-08-24 07:45:00+09:00,216.945,216.95,216.938,216.949
2026-08-24 07:50:00+09:00,216.949,216.953,216.929,216.937
2026-08-24 07:55:00+09:00,216.937,216.952,216.931,216.942
2026-08-24 08:00:00+09:00,216.942,216.947,216.883,216.895
2026-08-24 08:05:00+09:00,216.895,216.906,216.892,216.905
2026-08-24 08:10:00+09:00,216.905,216.909,216.893,216.907
2026-08-24 08:15:00+09:00,216.907,216.912,216.895,216.911
2026-08-24 08:20:00+09:00,216.911,216.946,216.911,216.946
2026-08-24 08:25:00+09:00,216.946,216.973,216.934,216.946
2026-08-24 08:30:00+09:00,216.946,216.969,216.945,216.96
2026-08-24 08:35:00+09:00,216.96,216.981,216.96,216.974
2026-08-24 08:40:00+09:00,216.974,216.999,216.973,216.985
2026-08-24 08:45:00+09:00,216.986,217.018,216.986,217.01
2026-08-24 08:50:00+09:00,217.01,217.019,216.989,216.989
2026-08-24 08:55:00+09:00,216.989,217.01,216.947,216.952
2026-08-24 09:00:00+09:00,216.952,216.958,216.907,216.931
2026-08-24 09:05:00+09:00,216.931,216.947,216.88,216.886
2026-08-24 09:10:00+09:00,216.886,216.911,216.862,216.876
2026-08-24 09:15:00+09:00,216.876,216.878,216.838,216.843
2026-08-24 09:20:00+09:00,216.843,216.844,216.749,216.762
2026-08-24 09:25:00+09:00,216.762,216.777,216.739,216.755
2026-08-24 09:30:00+09:00,216.755,216.766,216.694,216.695
2026-08-24 09:35:00+09:00,216.695,216.72,216.675,216.693
2026-08-24 09:40:00+09:00,216.693,216.728,216.692,216.712
2026-08-24 09:45:00+09:00,216.712,216.791,216.69,216.784
2026-08-24 09:50:00+09:00,216.784,216.805,216.724,216.735
2026-08-24 09:55:00+09:00,216.732,216.794,216.726,216.744
2026-08-24 10:00:00+09:00,216.744,216.786,216.734,216.765
2026-08-24 10:05:00+09:00,216.764,216.788,216.752,216.754
2026-08-24 10:10:00+09:00,216.754,216.796,216.754,216.788
2026-08-24 10:15:00+09:00,216.788,216.842,216.782,216.836
